customer_id,customer_name,city,state,signup_date
C185,Customer_085,Delhi,Delhi,2025-05-09
C186,Customer_086,Delhi,Delhi,2026-03-17
C187,Customer_087,Bangalore,Karnataka,2025-12-15
C188,Customer_088,Mumbai,Maharashtra,2025-02-28
C189,Customer_089,Mumbai,Maharashtra,2026-03-30
C190,Customer_090,Delhi,Delhi,2026-01-20
C191,Customer_091,Chennai,Tamil Nadu,2026-01-29
C192,Customer_092,Mumbai,Maharashtra,2025-06-24
C193,Customer_093,Bangalore,Karnataka,2025-05-31
C194,Customer_094,Pune,Maharashtra,2025-03-22
C195,Customer_095,Pune,Maharashtra,2025-01-02
C196,Customer_096,Mumbai,Maharashtra,2026-03-25
C197,Customer_097,Mumbai,Maharashtra,2025-05-15
C198,Customer_098,Delhi,Delhi,2026-01-26
C199,Customer_099,Hyderabad,Telangana,2025-09-17
C200,Customer_100,Bangalore,Karnataka,2026-03-22
